Field=Designator~String~Designator~138|Field=Comment~String~Comment~137|Field=Footprint~String~Footprint~137|Field=LibRef~String~LibRef~97|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DDS_RIKEN_2014.PrjPcb|ReportField=ProjectFullPath~C:\Users\thanedp\Desktop\HONG_DDS_2014_10_15\DDS_RIKEN_2014.PrjPcb|ReportField=Title~Bill of Materials For Project [DDS_RIKEN_2014.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~166|ReportField=ReportTime~2:10:11 PM|ReportField=ReportDate~12/26/2014|ReportField=ReportDateTime~12/26/2014 2:10:11 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~12/26/2014|ReportField=CurrentTime~2:06:43 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\thanedp\Desktop\HONG_DDS_2014_10_15\DDS_RIKEN_main.SchDoc|ReportField=DocumentName~DDS_RIKEN_main.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~11/10/2014|ReportField=Organization~|ReportField=ProjectName~DDS_RIKEN_2014.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~DDS_RIKEN_2014.PrjPcb|ReportField=DataSourceFullPath~C:\Users\thanedp\Desktop\HONG_DDS_2014_10_15\DDS_RIKEN_2014.PrjPcb
C67|Cap Semi|CAPC2012L|Cap Semi|100nF
C68|Cap Semi|CAPC2012L|Cap Semi|100nF
C69|Cap Semi|CAPC2012L|Cap Semi|100nF
C70|Cap Semi|CAPC2012L|Cap Semi|100nF
C71|Cap Semi|CAPC2012L|Cap Semi|100nF
C72|Cap Semi|CAPC2012L|Cap Semi|100nF
C73|Cap Semi|CAPC2012L|Cap Semi|100nF
C74|Cap|c0805|Cap|100nF
C75|Cap Semi|CAPC2012L|Cap Semi|100nF
C76|Cap|c0805|Cap|100pF
C77|Cap|c0805|Cap|10nF
C78|Cap|c0805|Cap|10nF
C79|Cap Semi|CAPC2012L|Cap Semi|33nF
C80|Cap Semi|CAPC2012L|Cap Semi|33nF
C81|Cap Semi|CAPC2012L|Cap Semi|33nF
C82|Cap Semi|CAPC2012L|Cap Semi|100nF
C83|Cap|c0805|Cap|100nF
C84|Cap|c0805|Cap|100nF
C85|Cap|c0805|Cap|100nF
C86|Cap|c0805|Cap|100nF
C87|Cap|c0805|Cap|100pF
C88|Cap|c0805|Cap|100nF
C89|Cap Semi|CAPC2012L|Cap Semi|330pF
C90|Cap Semi|CAPC2012L|Cap Semi|330pF
C91|Cap Semi|CAPC2012L|Cap Semi|330pF
C92|Cap Semi|CAPC2012L|Cap Semi|330pF
C93|Cap Semi|CAPC2012L|Cap Semi|330pF
D1|1PS76SB17|SOD323|Diode|
D2|1PS76SB17|SOD323|Diode|
D3|1PS76SB17|SOD323|Diode|
D4|1PS76SB17|SOD323|Diode|
D5|LED3|DSO-C2/D5.6|LED3|
D6|LED3|DSO-C2/D5.6|LED3|
D7|LED3|DSO-C2/D5.6|LED3|
D8|LED3|DSO-C2/D5.6|LED3|
D9|LED3|DSO-C2/D5.6|LED3|
D10|LED3|DSO-C2/D5.6|LED3|
D11|LED3|DSO-C2/D5.6|LED3|
D12|LED3|DSO-C2/D5.6|LED3|
J1|440119-2|440119|440119-2|
P1|JTAG|HDR2X5|Header 5X2|
P2|ASCONFIG|HDR2X5|Header 5X2|
P3|PCI3V32BIT|PCI3V32BIT|PCI3V32BIT|
P4|DDS ADDRESS|HDR2X4|Header 4X2|
P5|EMI sheild|BMIS-207|BMIS-207|
P6|RF_IN|SMA_Edgecon_31milthick|SMB|
P7|RF_OUT|SMA_Edgecon_31milthick|SMB|
R1||RESC3216L|Res3|10k
R2||RESC3216L|Res3|10k
R3||RESC3216L|Res3|10k
R4||RESC3216L|Res3|10k
R5||RESC3216L|Res3|10k
R6||RESC3216L|Res3|10k
R7||RESC3216L|Res3|10k
R8||RESC3216L|Res3|3.3k
R9||RESC3216L|Res3|4k
R10||RESC3216L|Res3|10k
R11||RESC3216L|Res3|4k7
